Month,Financial_Year,No_of_Banks,Volume_Mn,Value_Cr
March-2017,2016-17,44,6.37,2425.14
February-2017,2016-17,44,4.38,1937.71
January-2017,2016-17,36,4.46,1696.22
December-2016,2016-17,35,1.99,707.93
November-2016,2016-17,30,0.29,100.46
October-2016,2016-17,26,0.1,48.57
September-2016,2016-17,25,0.09,32.64
August-2016,2016-17,21,0.09,3.09
July-2016,2016-17,21,0.09,0.38
June-2016,2016-17,21,0.0,0.0
May-2016,2016-17,21,0.0,0.0
April-2016,2016-17,21,0.0,0.0
March-2018,2017-18,91,178.05,24172.6
February-2018,2017-18,86,171.4,19126.2
January-2018,2017-18,71,151.83,15571.2
December-2017,2017-18,67,145.64,13174.24
November-2017,2017-18,61,105.02,9669.33
October-2017,2017-18,60,76.96,7057.78
September-2017,2017-18,57,30.98,5325.81
August-2017,2017-18,55,16.8,4156.62
July-2017,2017-18,53,11.63,3411.35
June-2017,2017-18,52,10.35,3098.36
May-2017,2017-18,49,9.36,2797.07
April-2017,2017-18,48,7.2,2271.24
March-2019,2018-19,142,799.54,133460.72
February-2019,2018-19,139,674.19,106737.12
January-2019,2018-19,134,672.75,109932.43
December-2018,2018-19,129,620.17,102594.82
November-2018,2018-19,128,524.94,82232.21
October-2018,2018-19,128,482.36,74978.27
September-2018,2018-19,122,405.87,59835.36
August-2018,2018-19,114,312.02,54212.26
July-2018,2018-19,114,273.75,51843.14
June-2018,2018-19,110,246.37,40834.03
May-2018,2018-19,101,189.48,33288.51
April-2018,2018-19,97,190.08,27021.85
March-2020,2019-20,148,1246.84,206462.31
February-2020,2019-20,146,1325.69,222516.95
January-2020,2019-20,144,1305.02,216242.97
December-2019,2019-20,143,1308.4,202520.76
November-2019,2019-20,143,1218.77,189229.09
October-2019,2019-20,141,1148.36,191359.94
September-2019,2019-20,141,955.02,161456.56
August-2019,2019-20,141,918.35,154504.89
July-2019,2019-20,143,822.29,146386.64
June-2019,2019-20,142,754.54,146566.35
May-2019,2019-20,143,733.54,152449.29
April-2019,2019-20,144,781.79,142034.39
March-2021,2020-21,216,2731.68,504886.44
February-2021,2020-21,213,2292.9,425062.76
January-2021,2020-21,207,2302.73,431181.89
December-2020,2020-21,207,2234.16,416176.21
November-2020,2020-21,200,2210.23,390999.15
October-2020,2020-21,189,2071.62,386106.74
September-2020,2020-21,174,1800.14,329027.66
August-2020,2020-21,168,1618.83,298307.61
July-2020,2020-21,164,1497.36,290537.86
June-2020,2020-21,155,1336.93,261835.0
May-2020,2020-21,155,1234.5,218391.6
April-2020,2020-21,153,999.57,151140.66
March-2022,2021-22,314,5405.65,960581.66
February-2022,2021-22,304,4527.49,826843.0
January-2022,2021-22,297,4617.15,831993.11
December-2021,2021-22,282,4566.3,826848.22
November-2021,2021-22,274,4186.48,768436.11
October-2021,2021-22,261,4218.65,771444.98
September-2021,2021-22,259,3654.3,654351.81
August-2021,2021-22,249,3555.55,639116.95
July-2021,2021-22,235,3247.82,606281.14
June-2021,2021-22,229,2807.51,547373.17
May-2021,2021-22,224,2539.57,490638.65
April-2021,2021-22,220,2641.06,493663.68
March-2023,2022-23,399,8685.3,1410443.01
February-2023,2022-23,390,7534.76,1235846.62
January-2023,2022-23,385,8036.89,1298726.62
December-2022,2022-23,382,7829.49,1282055.01
November-2022,2022-23,376,7309.45,1190593.39
October-2022,2022-23,365,7305.42,1211582.51
September-2022,2022-23,358,6780.8,1116438.1
August-2022,2022-23,346,6579.63,1072792.68
July-2022,2022-23,338,6288.4,1062991.76
June-2022,2022-23,330,5862.75,1014384.31
May-2022,2022-23,323,5955.2,1041520.07
April-2022,2022-23,316,5583.05,983302.27
March-2024,2023-24,572,13440.0,1978353.23
February-2024,2023-24,560,12102.67,1827869.35
January-2024,2023-24,550,12203.02,1841083.97
December-2023,2023-24,522,12020.23,1822949.42
November-2023,2023-24,516,11235.29,1739740.61
October-2023,2023-24,505,11408.79,1715768.34
September-2023,2023-24,492,10555.69,1579133.18
August-2023,2023-24,484,10586.02,1576536.56
July-2023,2023-24,473,9964.61,1533536.44
June-2023,2023-24,458,9335.06,1475464.26
May-2023,2023-24,445,9415.19,1489145.44
April-2023,2023-24,414,8863.26,1415504.71
March-2025,2024-25,661,18301.51,2477221.61
February-2025,2024-25,653,16106.19,2196481.69
January-2025,2024-25,647,16996.0,2348037.12
December-2024,2024-25,641,16730.01,2324699.91
November-2024,2024-25,637,15482.02,2155187.4
October-2024,2024-25,632,16584.97,2349821.46
September-2024,2024-25,622,15041.75,2063994.71
August-2024,2024-25,608,14963.05,2060735.57
July-2024,2024-25,605,14435.55,2064292.41
June-2024,2024-25,602,13885.14,2007081.2
May-2024,2024-25,598,14035.84,2044937.05
April-2024,2024-25,583,13303.99,1964464.52
March-2026,2025-26,705,22641.11,2952542.05
February-2026,2025-26,694,20394.18,2684229.29
January-2026,2025-26,691,21703.44,2833481.22
December-2025,2025-26,685,21634.67,2796712.73
November-2025,2025-26,684,20466.98,2631632.63
October-2025,2025-26,683,20700.92,2727790.68
September-2025,2025-26,686,19633.43,2489736.54
August-2025,2025-26,688,20008.31,2485472.91
July-2025,2025-26,684,19467.95,2508498.09
June-2025,2025-26,675,18395.01,2403930.69
May-2025,2025-26,673,18677.46,2514297.01
April-2025,2025-26,668,17893.42,2394925.87
